date;heure;PA04C;A1;AUT;AUB;BASCH
;;mg/m3;mg/m3;mg/m3;mg/m3;mg/m3
05/10/2012;14;0;1;0;0;1
05/10/2012;15;0;1;1;0;1
05/10/2012;16;0;1;1;0;1
05/10/2012;17;0;1;1;0;2
05/10/2012;18;0;1;1;0;2
05/10/2012;19;0;1;1;0;2
05/10/2012;20;0;1;1;0;1
05/10/2012;21;0;1;1;0;1
05/10/2012;22;0;1;1;0;1
05/10/2012;23;0;1;1;0;1
05/10/2012;24;0;1;0;0;1
06/10/2012;1;0;1;0;0;0
06/10/2012;2;0;1;0;0;0
06/10/2012;3;0;1;0;0;0
06/10/2012;4;0;1;0;0;0
06/10/2012;5;0;1;0;0;1
06/10/2012;6;0;1;0;0;0
06/10/2012;7;0;1;0;0;0
06/10/2012;8;0;1;0;0;0
06/10/2012;9;0;1;0;0;1
06/10/2012;10;0;1;1;0;1
06/10/2012;11;0;1;1;0;1
06/10/2012;12;0;1;1;0;1
06/10/2012;13;0;1;1;0;1
06/10/2012;14;0;1;1;0;1
06/10/2012;15;0;1;1;0;1
06/10/2012;16;0;1;1;0;1
06/10/2012;17;0;1;1;0;1
06/10/2012;18;0;1;0;0;1
06/10/2012;19;0;1;1;0;1
06/10/2012;20;0;1;0;0;1
06/10/2012;21;0;1;0;0;0
06/10/2012;22;0;1;0;0;0
06/10/2012;23;0;1;1;0;1
06/10/2012;24;0;1;0;0;0
07/10/2012;1;0;1;0;0;0
07/10/2012;2;0;0;0;0;1
07/10/2012;3;0;0;0;0;0
07/10/2012;4;0;0;0;0;0
07/10/2012;5;0;0;0;0;0
07/10/2012;6;0;0;0;0;0
07/10/2012;7;0;0;0;0;0
07/10/2012;8;0;0;1;0;0
07/10/2012;9;0;0;1;0;0
07/10/2012;10;0;0;1;0;0
07/10/2012;11;0;1;1;0;0
07/10/2012;12;0;0;1;0;0
07/10/2012;13;0;0;1;0;0
07/10/2012;14;0;1;1;0;0
07/10/2012;15;0;0;1;0;0
07/10/2012;16;0;1;1;0;0
07/10/2012;17;0;1;1;0;0
07/10/2012;18;0;1;1;0;0
07/10/2012;19;0;1;0;0;0
07/10/2012;20;0;1;1;0;0
07/10/2012;21;0;1;0;0;0
07/10/2012;22;0;1;0;0;0
07/10/2012;23;0;1;0;0;n/d
07/10/2012;24;0;1;0;0;n/d
08/10/2012;1;0;0;0;0;0
08/10/2012;2;0;0;0;0;0
08/10/2012;3;0;0;0;0;0
08/10/2012;4;0;0;0;0;0
08/10/2012;5;0;1;0;0;0
08/10/2012;6;0;1;0;0;1
08/10/2012;7;0;1;1;0;1
08/10/2012;8;1;1;1;1;1
08/10/2012;9;0;1;1;0;1
08/10/2012;10;0;1;1;n/d;1
08/10/2012;11;1;1;1;n/d;1
08/10/2012;12;1;1;1;1;1
08/10/2012;13;1;1;1;0;1
08/10/2012;14;1;1;1;1;1
08/10/2012;15;1;1;1;1;1
08/10/2012;16;1;2;1;1;1
08/10/2012;17;1;2;1;1;1
08/10/2012;18;1;1;1;1;2
08/10/2012;19;1;1;1;0;2
08/10/2012;20;1;1;1;0;1
08/10/2012;21;1;1;1;0;1
08/10/2012;22;0;1;1;0;1
08/10/2012;23;0;1;0;0;1
08/10/2012;24;0;1;0;0;1
09/10/2012;1;0;0;0;0;0
09/10/2012;2;0;0;0;0;0
09/10/2012;3;0;1;0;0;0
09/10/2012;4;0;1;0;0;0
09/10/2012;5;0;1;1;0;0
09/10/2012;6;0;1;1;0;1
09/10/2012;7;0;1;1;0;1
09/10/2012;8;0;1;1;0;2
09/10/2012;9;0;1;1;0;1
09/10/2012;10;0;1;1;0;1
09/10/2012;11;0;1;1;0;1
09/10/2012;12;1;1;1;0;1
09/10/2012;13;1;1;1;0;1
09/10/2012;14;0;1;1;0;1
09/10/2012;15;1;1;1;0;1
09/10/2012;16;1;1;1;0;1
09/10/2012;17;1;1;2;0;1
09/10/2012;18;1;1;1;0;1
09/10/2012;19;1;1;1;0;1
09/10/2012;20;0;1;1;0;1
09/10/2012;21;0;1;1;0;1
09/10/2012;22;0;1;1;0;0
09/10/2012;23;0;0;0;0;0
09/10/2012;24;0;0;0;0;0
10/10/2012;1;0;1;0;0;0
10/10/2012;2;0;0;0;0;0
10/10/2012;3;0;1;0;0;0
10/10/2012;4;0;1;0;0;0
10/10/2012;5;0;1;1;0;0
10/10/2012;6;0;1;1;0;1
10/10/2012;7;0;1;1;0;1
10/10/2012;8;0;1;1;0;1
10/10/2012;9;0;1;1;0;1
10/10/2012;10;0;1;1;0;1
10/10/2012;11;0;1;1;0;1
10/10/2012;12;0;1;1;0;1
10/10/2012;13;0;1;1;0;1
10/10/2012;14;0;1;1;0;1
10/10/2012;15;0;1;1;0;1
10/10/2012;16;0;1;1;0;1
10/10/2012;17;0;1;2;0;1
10/10/2012;18;1;1;1;0;2
10/10/2012;19;1;1;1;0;1
10/10/2012;20;0;1;1;0;1
10/10/2012;21;0;1;1;0;1
10/10/2012;22;0;1;1;0;1
10/10/2012;23;0;1;1;0;1
10/10/2012;24;0;1;0;0;0
11/10/2012;1;0;1;0;0;0
11/10/2012;2;0;1;0;0;0
11/10/2012;3;0;1;0;0;0
11/10/2012;4;0;1;0;0;0
11/10/2012;5;0;1;1;0;1
11/10/2012;6;0;1;1;0;1
11/10/2012;7;1;1;1;0;1
11/10/2012;8;1;1;1;1;2
11/10/2012;9;1;1;1;0;1
11/10/2012;10;1;1;1;0;n/d
11/10/2012;11;1;1;1;0;1
11/10/2012;12;1;1;1;0;1
11/10/2012;13;1;1;1;0;1
11/10/2012;14;0;1;1;0;1
11/10/2012;15;0;1;1;0;1
11/10/2012;16;0;1;1;0;1
11/10/2012;17;1;1;1;0;2
11/10/2012;18;1;1;1;0;1
11/10/2012;19;0;1;1;0;1
11/10/2012;20;0;1;1;0;1
11/10/2012;21;0;1;1;0;1
11/10/2012;22;0;1;1;0;1
11/10/2012;23;0;1;0;0;1
11/10/2012;24;0;1;0;0;0
12/10/2012;1;0;0;0;0;0
12/10/2012;2;0;0;0;0;0
12/10/2012;3;0;0;0;0;0
12/10/2012;4;0;1;0;0;0
12/10/2012;5;0;1;0;0;0
12/10/2012;6;0;1;1;0;0
12/10/2012;7;0;2;1;0;1
12/10/2012;8;0;1;1;0;1
12/10/2012;9;0;1;1;0;0
12/10/2012;10;0;1;0;0;0
12/10/2012;11;0;1;1;0;0
12/10/2012;12;0;1;0;0;0
12/10/2012;13;0;1;0;0;0
12/10/2012;14;0;1;1;0;0
